fire_id,comune,fire_date,area_ha_effis,status,dnbr_area_ha_within_1km,dnbr_nearest_patch_ha,dnbr_nearest_dist_m,pre_scene,post_scene,pre_cloud_pct,post_cloud_pct,elapsed_s,overshoot_ratio,qa_flag
51711,Borgetto,2021-07-27 12:12:00,8.0,ok,4.59,0.18,191.0,HLS.S30.T33SUC.2021187T095031.v2.0,HLS.S30.T33SUC.2021212T095029.v2.0,0.0,0.0,22.8,0.0225,plausible
55213,Borgetto,2021-09-16 00:00:00,10.0,ok,2.16,0.18,156.0,HLS.S30.T33SUC.2021212T095029.v2.0,HLS.S30.T33SUC.2021262T095029.v2.0,0.0,4.0,24.5,0.018,plausible
203968,Partinico,2022-06-23 11:17:00,25.0,ok,33.21,0.18,345.0,HLS.S30.T33SUC.2022172T095041.v2.0,HLS.S30.T33SUC.2022197T094549.v2.0,0.0,0.0,22.2,0.0072,plausible
210142,Borgetto,2022-08-28 00:05:00,6.0,ok,18.0,0.45,197.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022300T100029.v2.0,0.0,0.0,22.3,0.075,plausible
43374,Caccamo,2020-08-31 11:06:00,12.0,ok,2.43,0.45,369.0,HLS.S30.T33SUC.2020233T095041.v2.0,HLS.S30.T33SUC.2020283T095041.v2.0,0.0,2.0,22.5,0.0375,plausible
219722,Borgetto,2023-08-23 00:00:00,29.0,ok,2015.01,3.42,0.0,HLS.S30.T33SUC.2023197T095031.v2.0,HLS.S30.T33SUC.2023292T095019.v2.0,0.0,0.0,25.5,0.11793103448275861,plausible
234258,Borgetto,2024-07-19 11:21:00,22.0,ok,4.77,0.27,555.0,HLS.S30.T33SUC.2024197T094549.v2.0,HLS.S30.T33SUC.2024240T095549.v2.0,0.0,0.0,33.2,0.012272727272727274,needs_manual_review_likely_noise
42046,Caccamo,2020-08-11 11:30:00,18.0,ok,1.98,0.18,2.0,HLS.S30.T33SUB.2020208T095029.v2.0,HLS.S30.T33SUB.2020228T095039.v2.0,0.0,0.0,24.9,0.01,plausible
17046,,,,no_imagery_found,,,,,,,,0.4,,n/a
18613,,,,no_imagery_found,,,,,,,,0.5,,n/a
54727,Caccamo,2021-09-01 12:38:00,18.0,ok,0.0,0.18,3658.0,HLS.S30.T33SUB.2021242T095029.v2.0,HLS.S30.T33SUB.2021247T095031.v2.0,1.0,0.0,25.0,0.01,needs_manual_review_likely_noise
54728,Caccamo,2021-09-02 12:17:00,25.0,ok,10.89,2.34,267.0,HLS.S30.T33SUC.2021212T095029.v2.0,HLS.S30.T33SUC.2021257T095031.v2.0,0.0,3.0,19.7,0.09359999999999999,plausible
220710,,,,no_covering_tile,,,,,,,,23.0,,n/a
210393,Caccamo,2022-09-10 11:34:00,12.0,ok,2.88,0.18,429.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022297T095029.v2.0,0.0,0.0,24.3,0.015,plausible
199244,Caccamo,2022-04-12 00:43:00,7.0,ok,155.25,1.71,0.0,HLS.S30.T33SUB.2022082T095031.v2.0,HLS.S30.T33SUB.2022142T095041.v2.0,2.0,0.0,25.4,0.24428571428571427,plausible
245701,Caccamo,2024-10-06 12:04:00,4.0,ok,3.87,0.18,298.0,HLS.S30.T33SUC.2024227T094549.v2.0,HLS.S30.T33SUC.2024302T095121.v2.0,0.0,1.0,14.5,0.045,plausible
223281,Ciminna,2023-10-23 00:00:00,16.0,ok,37.26,33.93,777.0,HLS.S30.T33SUB.2023292T095019.v2.0,HLS.S30.T33SUB.2023297T095051.v2.0,0.0,22.0,23.8,2.120625,needs_manual_review_likely_noise
213652,Caltavuturo,2023-02-24 00:00:00,8.0,ok,11.43,0.72,7.0,HLS.S30.T33SUB.2023032T095129.v2.0,HLS.S30.T33SUB.2023102T095029.v2.0,1.0,1.0,18.9,0.09,plausible
223451,,,,no_covering_tile,,,,,,,,22.6,,n/a
210906,Capaci,2022-09-25 12:44:00,3.0,ok,0.36,0.18,299.0,HLS.S30.T33SUC.2022257T094609.v2.0,HLS.S30.T33SUC.2022305T100151.v2.0,0.0,0.0,14.8,0.06,plausible
15098,,,,no_imagery_found,,,,,,,,0.7,,n/a
222913,Capaci,2023-10-15 11:34:00,12.0,ok,59.31,0.54,453.0,HLS.S30.T33SUC.2023287T095031.v2.0,HLS.S30.T33SUC.2023292T095019.v2.0,0.0,0.0,16.3,0.045000000000000005,plausible
223286,,,,no_covering_tile,,,,,,,,28.1,,n/a
211394,Monreale,2022-10-31 12:19:00,1.0,ok,8.01,3.6,125.0,HLS.S30.T33SUC.2022300T100029.v2.0,HLS.S30.T33SUC.2022360T100329.v2.0,0.0,0.0,12.2,3.6,plausible
230045,,,,no_covering_tile,,,,,,,,25.3,,n/a
227893,,,,no_covering_tile,,,,,,,,25.5,,n/a
210438,Monreale,2022-09-13 11:28:00,3.0,ok,1.26,0.18,545.0,HLS.S30.T33SUC.2022197T094549.v2.0,HLS.S30.T33SUC.2022305T100151.v2.0,0.0,0.0,10.1,0.06,needs_manual_review_likely_noise
26270,Castronovo di Sicilia,2020-05-16 12:00:00,18.0,ok,18368.1,18366.84,0.0,HLS.S30.T33SUB.2020133T095031.v2.0,HLS.S30.T33SUB.2020183T095031.v2.0,0.0,0.0,18.7,1020.38,needs_manual_review_likely_noise
44721,Cammarata,2020-10-09 15:05:38.513000,30.0,ok,6541.74,457.38,6.0,HLS.S30.T33SUB.2020228T095039.v2.0,HLS.S30.T33SUB.2020283T095041.v2.0,0.0,1.0,19.7,15.246,needs_manual_review_likely_noise
223283,Cefalù,2023-10-23 00:00:00,28.0,ok,0.81,0.18,735.0,HLS.S30.T33SVC.2023277T095031.v2.0,HLS.S30.T33SVC.2023297T095051.v2.0,0.0,0.0,18.5,0.0064285714285714285,needs_manual_review_likely_noise
211834,,,,no_covering_tile,,,,,,,,28.2,,n/a
19353,Chiusa Sclafani,2020-01-10 00:00:00,22.0,ok,2.97,0.36,444.0,HLS.S30.T33SUB.2020003T095401.v2.0,HLS.S30.T33SUB.2020038T095059.v2.0,1.0,1.0,20.2,0.01636363636363636,plausible
280841,Castronovo di Sicilia,2025-08-28 00:07:00,7.0,ok,72.81,2.34,76.0,HLS.S30.T33SUB.2025198T095051.v2.0,HLS.S30.T33SUB.2025248T095051.v2.0,1.0,0.0,29.4,0.33428571428571424,plausible
49532,Chiusa Sclafani,2021-05-30 11:08:00,5.0,ok,8453.7,47.34,0.0,HLS.S30.T33SUB.2021137T095031.v2.0,HLS.S30.T33SUB.2021167T095031.v2.0,0.0,0.0,18.6,9.468,plausible
244669,,,,no_covering_tile,,,,,,,,57.5,,n/a
49526,Palazzo Adriano,2021-05-23 23:54:00,18.0,ok,2564.01,2562.3,0.0,HLS.S30.T33SUB.2021137T095031.v2.0,HLS.S30.T33SUB.2021167T095031.v2.0,0.0,0.0,18.2,142.35000000000002,needs_manual_review_likely_noise
280314,Chiusa Sclafani,2025-08-30 19:47:00,4.0,ok,0.0,0.45,2424.0,HLS.S30.T33SUB.2025234T100029.v2.0,HLS.S30.T33SUB.2025259T100041.v2.0,0.0,0.0,16.8,0.1125,needs_manual_review_likely_noise
280316,Chiusa Sclafani,2025-08-30 19:47:00,1.0,ok,22.77,4.41,227.0,HLS.S30.T33SUB.2025198T095051.v2.0,HLS.S30.T33SUB.2025248T095051.v2.0,1.0,0.0,16.7,4.41,plausible
280315,Chiusa Sclafani,2025-08-30 19:47:00,1.0,ok,22.59,4.41,93.0,HLS.S30.T33SUB.2025198T095051.v2.0,HLS.S30.T33SUB.2025248T095051.v2.0,1.0,0.0,19.5,4.41,plausible
278169,Palazzo Adriano,2025-08-09 00:00:00,26.0,ok,4603.14,2.16,29.0,HLS.S30.T33SUB.2025178T095041.v2.0,HLS.S30.T33SUB.2025248T095051.v2.0,0.0,0.0,13.0,0.08307692307692308,plausible
278352,Chiusa Sclafani,2025-08-13 00:00:00,29.0,ok,0.9,0.72,96.0,HLS.S30.T33SUB.2025178T095041.v2.0,HLS.S30.T33SUB.2025248T095051.v2.0,0.0,0.0,19.6,0.02482758620689655,plausible
210439,Ciminna,2022-09-10 12:23:00,3.0,ok,1101.24,0.27,242.0,HLS.S30.T33SUB.2022207T094549.v2.0,HLS.S30.T33SUB.2022312T095221.v2.0,0.0,1.0,13.4,0.09000000000000001,plausible
46848,,,,no_covering_tile,,,,,,,,54.8,,n/a
272452,Chiusa Sclafani,2025-06-25 00:07:00,29.0,ok,6913.35,6911.1,841.0,HLS.S30.T33SUB.2025121T095029.v2.0,HLS.S30.T33SUB.2025234T100029.v2.0,0.0,0.0,25.3,238.3137931034483,needs_manual_review_likely_noise
49297,,,,no_covering_tile,,,,,,,,22.7,,n/a
49298,,,,no_covering_tile,,,,,,,,19.6,,n/a
229825,Collesano,2024-04-21 12:32:00,2.0,ok,11780.46,11778.75,0.0,HLS.S30.T33SUC.2024097T094549.v2.0,HLS.S30.T33SUC.2024172T095031.v2.0,0.0,0.0,14.8,5889.375,needs_manual_review_likely_noise
18226,,,,no_imagery_found,,,,,,,,1.1,,n/a
225335,Gangi,2024-02-06 11:46:00,4.0,ok,0.18,0.18,914.0,HLS.S30.T33SVB.2024037T095109.v2.0,HLS.S30.T33SVB.2024097T094549.v2.0,1.0,1.0,13.5,0.045,needs_manual_review_likely_noise
220253,Poggioreale,2023-08-31 12:19:00,14.0,ok,549.09,0.18,60.0,HLS.S30.T33SUB.2023222T094549.v2.0,HLS.S30.T33SUB.2023292T095019.v2.0,0.0,0.0,20.2,0.012857142857142857,plausible
49533,Geraci Siculo,2021-05-22 11:57:00,3.0,ok,19175.94,19175.94,0.0,HLS.S30.T33SVB.2021137T095031.v2.0,HLS.S30.T33SVB.2021197T095031.v2.0,1.0,1.0,13.2,6391.98,needs_manual_review_likely_noise
