comune,localita,date,area_ha
ALTOFONTE,Valle Femmina Morta,2025-09-22,29.7933
MONREALE,Borgo Saladino,2020-06-30,29.7735
CACCAMO,Rocca Grande,2018-07-23,29.51
MONREALE,Contrada Billiemi,2023-08-23,29.3831
PRIZZI,Prizzi,2023-09-21,29.3558
PETRALIA SOPRANA,Madonnuzza,2020-08-02,29.08
MISILMERI,"Medolala, Misilmeri (PA)",2021-06-21,28.6183
CACCAMO,Manche,2022-08-02,27.9793
CACCAMO,Manche,2023-08-04,27.9018
MISILMERI,Feotto,2025-08-22,27.7697
MONREALE,Gusina,2021-08-27,27.7199
SANTA CRISTINA GELA,Salice,2025-07-25,27.617
PALERMO,poggio ridente,2023-07-25,27.5954
CASTRONOVO DI SICILIA,Pianioli,2018-07-13,27.3388
MONTEMAGGIORE BELSITO,Piano Di Forgia,2022-08-15,27.2938
ALTOFONTE,Valle Fico versante via zarcone,,27.2083
MISILMERI,Monte Frumento,,27.1262
ALIA,Alia,2020-07-13,27.1131
MISILMERI,Resalami,2020-08-30,26.9094
PALAZZO ADRIANO,Bosco Di Rifesi,2025-07-05,26.8721
CASTRONOVO DI SICILIA,Pietre Cadute,2023-07-19,26.8533
CHIUSA SCLAFANI,M. Colomba,2025-08-06,26.8478
SANTA CRISTINA GELA,"Cozzo Montagna, ",,26.5214
CARINI,Piano Di S. Venere,2020-09-25,26.2218
VICARI,Vicari,2023-10-19,26.191
BELMONTE MEZZAGNO,Jancheria,2018-10-27,26.1812
MISILMERI,Rocca Bianca,2020-08-07,26.0034
ISNELLO,C.ZO MEDIE,2020-03-12,25.9541
ALIA,Casuzze,2020-07-19,25.9382
PALERMO,valle del porco,2020-09-05,25.7891
PARTINICO,Grassuri,2025-07-24,25.6524
CASTELLANA SICULA,Pizzo Croce,2025-10-07,25.609
MONREALE,Cerasa,2021-07-31,25.3774
SANTA CRISTINA GELA,POGGETTO,2021-08-17,25.3155
PETRALIA SOPRANA,Fasano,2025-09-09,25.2688
CASTRONOVO DI SICILIA,Santuario Di Piedigrotta,2020-05-16,24.9487
ALIA,Contrada Gulfa,2023-07-23,24.7225
SCILLATO,Punta Cupiglione,2023-02-24,24.6882
SANTA CRISTINA GELA,Pianetto,2020-07-23,24.4584
PIANA DEGLI ALBANESI,Centrale Guadalami,2022-08-05,24.203
PALERMO,Capo Gallo,,24.0688
PALAZZO ADRIANO,Costa Della Menta,,24.0408
PALAZZO ADRIANO,Pizzo Gallinaro,2021-05-23,24.0106
VENTIMIGLIA DI SICILIA,Traversa,,23.4801
MONREALE,Cerasa,2020-08-02,23.1014
MARINEO,Cozzo Serena,2024-09-04,23.0014
SANTA CRISTINA GELA,Pianetto,,22.7977
ISNELLO,Isnello,2023-07-25,22.4705
MONREALE,"V.ne dei Cippi,",2022-07-17,22.4546
ALTAVILLA MILICIA,Torre Normanna,2021-08-17,22.3749
MONREALE,Villaggio Montano,2023-09-23,22.3572
MONREALE,Lago Poma,2020-08-12,22.3514
VILLAFRATI,Cozzo Mulinazzo,2020-05-23,22.3506
MONREALE,Guadalami,2022-09-16,22.1665
ALIA,Contrada Gulfa,2021-08-23,21.9003
TRABIA,Serra Mola,2020-05-26,21.8678
PIANA DEGLI ALBANESI,Ducco,2022-09-15,21.3653
MONREALE,Volo  dell'aguila,2020-08-01,21.2263
PALERMO,Madonna Del Ponticello,2020-10-03,21.0821
MISILMERI,Risalaimi,2022-07-24,20.9691
CONTESSA ENTELLINA,Garcia,2023-08-27,20.8968
CACCAMO,Cozzo Sannita,2021-09-01,20.6598
PRIZZI,Filaga,2023-10-20,20.4477
MONREALE,Vallone dei Cippi,2022-08-01,20.3481
SAN GIUSEPPE JATO,Fosso della Chiusa,2022-10-03,20.3431
TERMINI IMERESE,Rovine Di Himera,2018-07-28,20.3267
MEZZOJUSO,"C/da Frattina ,",2023-09-22,20.218
SAN GIUSEPPE JATO,Contrada Traversa,2025-07-17,20.1843
TERMINI IMERESE,Danigarci,2023-09-14,19.8376
SCILLATO,Firrionello Scillato (PA),,19.7817
SANTA CRISTINA GELA,Pianetto,,19.7679
TERMINI IMERESE,Cozzo Giardinello,2021-07-04,19.7368
CHIUSA SCLAFANI,Chiappanti,2022-04-25,19.701
