comune,localita,date,area_ha
POLIZZI GENEROSA,Polizzi Generosa,2024-06-30,0.2392
SCILLATO,"Contrada Scannale, Scillato (PA)",2022-06-28,0.2375
CARINI,Carini,2024-07-13,0.2367
MONREALE,"V.ne dei Cippi, Monreale (PA)",2022-08-07,0.2351
POLIZZI GENEROSA,San Cono,2020-07-11,0.2336
CACCAMO,Santa Vittoria,2020-05-16,0.2298
ALIA,Bevaio Del Bosco,2022-08-25,0.2281
PALERMO,Petrazzi Palermo,2018-08-04,0.225
COLLESANO,Tabarani,2022-10-03,0.2218
CARINI,"Capreria, Carini",2020-07-14,0.2209
CALTAVUTURO,Chiusa,2020-02-29,0.2193
MONREALE,Lago Poma,2018-09-03,0.2192
CARINI,Cozzo Vanco Carini (PA),2021-09-27,0.2164
CARINI,Mancusa,2020-09-21,0.2156
TORRETTA,Torretta,2023-09-02,0.213
CASTELBUONO,S. Nicasio,,0.2054
CIMINNA,Portella Gallo,,0.2043
POLIZZI GENEROSA,San Pietro,2022-02-17,0.199
TERMINI IMERESE,"Monte S. Calogero, Termini Imerese(PA)",2018-09-18,0.1926
POLIZZI GENEROSA,Madonna Della Raccolta,,0.187
PALERMO,Monte Pellegrino,2025-05-23,0.1868
CAPACI,Zarcati,2024-10-15,0.1827
TERRASINI,Via Ruggero II ,,0.1826
POLIZZI GENEROSA,Saprone,2023-07-25,0.1767
CARINI,Caparello,2024-06-29,0.175
POLIZZI GENEROSA,Fiume Secco,2020-03-14,0.1727
ISNELLO,AQUILEA,2025-03-16,0.172
POLIZZI GENEROSA,Casa S. Nicola,2023-03-16,0.1711
POLIZZI GENEROSA,Contrada San Nicola,2022-07-06,0.1711
GIULIANA,Ruggirello,2018-07-02,0.1705
CARINI,Balzo Rosso,2025-07-25,0.166
CHIUSA SCLAFANI,Ruzzolone,2020-06-24,0.1478
GIARDINELLO,Contrada Sagana,2023-11-01,0.143
GIARDINELLO,Acque Colate,,0.1427
POLIZZI GENEROSA,Contrada Sorgitore,2025-03-21,0.1373
MONREALE,La Montagnola,,0.1327
MONTELEPRE,Cugnu Signiruzzu,2024-09-08,0.1326
ISNELLO,AQUILEA,2025-06-30,0.131
PIANA DEGLI ALBANESI,Ghionit,2022-07-09,0.1309
ALIA,Tre Denari,2022-07-29,0.1127
CARINI,Curva Battaglia,2024-07-21,0.1119
TERMINI IMERESE,Cozzo Dell' Imperatore,,0.1107
MONREALE,Masseria Dei Cippi,2024-07-13,0.1079
CINISI,piano margi,2024-10-07,0.1071
CARINI,Costa Marino,,0.1062
CARINI,Cerasia,2022-07-12,0.1039
CALTAVUTURO,Contrada Gangitani,2025-07-11,0.1016
PALERMO,Montagnola S. Rosalia,2025-07-29,0.1012
PALERMO,Torrente D'Inverno,2018-07-02,0.1012
SCLAFANI BAGNI,Abbeveratoio Del Celso,2021-07-11,0.1001
CALTAVUTURO,Caltavuturo,2021-06-25,0.0989
CARINI,Manostalla,2018-07-22,0.0988
SAN MAURO CASTELVERDE,Contrada Tiberio,2025-09-10,0.0949
PALERMO,Monte Pellegrino,2023-09-05,0.0863
GERACI SICULO,Monte Miccio,2020-08-26,0.0786
PALERMO,Madonna Del Ponticello,2018-07-11,0.0708
CARINI,Pirato,2021-04-10,0.069
CARINI,Montagnola,2025-07-14,0.0677
MEZZOJUSO,Contrada Frattina,2018-10-01,0.0664
ISNELLO,Contrada Madonna Lume,2024-08-17,0.0638
POLLINA,Contrada Zabbara,2022-10-03,0.0618
POLLINA,Contrada Zabbara,2022-10-04,0.0616
PALERMO,Torrente D'Inverno,2018-07-31,0.0462
SAN MAURO CASTELVERDE,Contrada Tiberio,2025-09-10,0.0299
PALERMO,Ciaculli,2020-09-03,0.0
MISILMERI,Raffi,2020-08-21,0.0
MONREALE,vallone Paradiso,2020-06-09,0.0
MONREALE,Renda,2020-08-14,0.0
MONREALE,Renda,2020-08-17,0.0
SANTA CRISTINA GELA,Migliore,2020-08-29,0.0
POLLINA,Contrada S. Maria,2020-08-18,0.0
PIANA DEGLI ALBANESI,LASI,2020-05-13,0.0
MONREALE,Portella Rena,2020-08-14,0.0
MONREALE,Monte Fiascone,2020-08-24,0.0
POLIZZI GENEROSA,Madonna Della Pieta',2020-11-09,0.0
COLLESANO,Contrada Sulla,2020-05-31,0.0
COLLESANO,Contrada Garbinogara,2020-08-17,0.0
CASTELBUONO,Terricidio. Castelbuono (PA),2020-05-18,0.0
GIARDINELLO,Piano Arancio,,0.0
BISACQUINO,Triona,2020-10-21,0.0
MONREALE,Piano Tavernelli,2020-08-17,0.0
MISILMERI,Montagna Grande,,
TRABIA,Torre Artale,,
TERMINI IMERESE,Danigarci,,
SCILLATO,Firrionello,,
CACCAMO,Contrada Ginestra,,
