fire_id,comune,fire_date,area_ha,day_or_night_ignition,pct_agricultural_landcover,pastureland_context_flag,shape_compactness,straight_edge_fraction,geometric_shape_flag
42046,Caccamo,2020-08-11 11:30:00.000,18,day,0.0,not predominantly agricultural,0.913,0.201,False
50183,Caccamo,2021-07-01 00:00:00.000,70,night,75.0,near/in agricultural land,0.296,0.262,False
52128,Roccapalumba,2021-08-08 10:20:00.000,207,day,55.0,near/in agricultural land,0.276,0.508,True
52150,Caccamo,2021-08-08 21:20:00.000,191,night,3.1,not predominantly agricultural,0.154,0.185,False
54727,Caccamo,2021-09-01 12:38:00.000,18,day,68.4,near/in agricultural land,0.697,0.429,True
54728,Caccamo,2021-09-02 12:17:00.000,25,day,34.8,near/in agricultural land,0.751,0.306,False
51500,Caccamo,2021-07-24 09:25:00.000,459,day,39.6,near/in agricultural land,0.22,0.074,False
210634,Termini Imerese,2022-09-16 00:50:00.000,204,night,8.8,not predominantly agricultural,0.507,0.495,True
199244,Caccamo,2022-04-12 00:43:00.000,7,night,0.0,not predominantly agricultural,0.328,0.346,False
208622,Caccamo,2022-08-02 10:17:00.000,39,day,0.0,not predominantly agricultural,0.463,0.279,False
210393,Caccamo,2022-09-10 11:34:00.000,12,day,16.7,not predominantly agricultural,0.477,0.595,True
220710,Caccamo,2023-09-12 12:44:00.000,19,day,0.0,not predominantly agricultural,0.516,0.391,True
222979,Caccamo,2023-10-19 09:13:00.000,107,day,2.8,not predominantly agricultural,0.418,0.429,True
223280,Ciminna,2023-10-23 00:00:00.000,79,night,63.7,near/in agricultural land,0.491,0.345,False
223281,Ciminna,2023-10-23 00:00:00.000,16,night,0.0,not predominantly agricultural,0.823,0.228,False
245701,Caccamo,2024-10-06 12:04:00.000,4,day,0.0,not predominantly agricultural,0.48,0.548,True
16150,Sclafani Bagni,2019-07-07 00:00:00.000,71,night,42.5,near/in agricultural land,0.352,0.367,True
17046,Caltavuturo,2019-09-14 00:00:00.000,30,night,100.0,near/in agricultural land,0.345,0.451,True
18613,Caltavuturo,2019-10-01 00:00:00.000,22,night,100.0,near/in agricultural land,0.519,0.402,True
213652,Caltavuturo,2023-02-24 00:00:00.000,8,night,0.0,not predominantly agricultural,0.771,0.154,False
223451,Caltavuturo,2023-10-27 11:57:00.000,11,day,54.5,near/in agricultural land,0.447,0.302,False
223286,Polizzi Generosa,2023-10-20 12:29:00.000,5,day,40.0,near/in agricultural land,0.636,0.382,True
227893,Caltavuturo,2024-03-30 09:52:00.000,9,day,0.0,not predominantly agricultural,0.429,0.366,True
230045,Caltavuturo,2024-04-30 00:00:00.000,6,night,0.0,not predominantly agricultural,0.636,0.244,False
232781,Sclafani Bagni,2024-07-01 11:57:00.000,459,day,84.5,near/in agricultural land,0.275,0.369,True
244669,Caltavuturo,2024-09-24 11:40:00.000,22,day,73.9,near/in agricultural land,0.681,0.376,True
234948,Vicari,2024-07-20 12:44:00.000,372,day,98.4,near/in agricultural land,0.333,0.318,False
51490,Campofiorito,2021-07-28 11:04:00.000,42,day,7.0,not predominantly agricultural,0.551,0.316,False
18140,Monreale,2019-08-08 00:00:00.000,204,night,46.9,near/in agricultural land,0.283,0.589,True
209160,Monreale,2022-08-08 20:44:00.000,94,night,19.8,not predominantly agricultural,0.319,0.437,True
220757,Monreale,2023-09-18 11:42:00.000,106,day,17.6,not predominantly agricultural,0.365,0.542,True
221080,Camporeale,2023-09-22 11:17:00.000,83,day,77.6,near/in agricultural land,0.236,0.352,True
275714,Monreale,2025-07-26 00:01:00.000,226,night,49.6,near/in agricultural land,0.129,0.465,True
210906,Capaci,2022-09-25 12:44:00.000,3,day,0.0,not predominantly agricultural,0.435,0.352,True
217665,Palermo,2023-07-24 20:00:00.000,1699,night,0.0,not predominantly agricultural,0.094,0.448,True
222913,Capaci,2023-10-15 11:34:00.000,12,day,41.7,near/in agricultural land,0.824,0.113,False
13986,Carini,2018-07-16 00:00:00.000,64,night,0.0,not predominantly agricultural,0.461,0.36,True
16226,Carini,2019-08-13 00:00:00.000,43,night,0.0,not predominantly agricultural,0.788,0.492,True
16700,Carini,2019-08-08 00:00:00.000,222,night,0.0,not predominantly agricultural,0.88,0.568,True
26237,Carini,2020-06-04 00:36:00.000,73,night,1.4,not predominantly agricultural,0.668,0.583,True
51938,Carini,2021-08-05 00:33:00.000,165,night,4.3,not predominantly agricultural,0.213,0.422,True
211394,Monreale,2022-10-31 12:19:00.000,1,day,0.0,not predominantly agricultural,0.883,0.059,False
210236,Carini,2022-09-09 00:33:00.000,114,night,20.5,not predominantly agricultural,0.591,0.448,True
209255,Carini,2022-08-17 00:11:00.000,332,night,0.9,not predominantly agricultural,0.426,0.438,True
210633,Carini,2022-09-16 11:21:00.000,46,day,0.0,not predominantly agricultural,0.678,0.485,True
210438,Monreale,2022-09-13 11:28:00.000,3,day,0.0,not predominantly agricultural,0.549,0.345,False
207201,Monreale,2022-07-22 00:00:00.000,56,night,0.0,not predominantly agricultural,0.398,0.416,True
221462,Monreale,2023-09-22 12:06:00.000,430,day,0.0,not predominantly agricultural,0.177,0.514,True
217664,Monreale,2023-07-24 01:09:00.000,2029,night,6.3,not predominantly agricultural,0.126,0.497,True
221068,Carini,2023-09-21 13:04:00.000,474,day,13.8,not predominantly agricultural,0.183,0.365,True
217475,Cinisi,2023-07-24 11:42:00.000,605,day,0.3,not predominantly agricultural,0.266,0.52,True
15098,Castelbuono,2018-06-03 00:00:00.000,29,night,82.8,near/in agricultural land,0.95,0.476,True
211834,Castelbuono,2023-01-05 11:42:00.000,8,day,12.5,not predominantly agricultural,0.835,0.225,False
16728,Resuttano,2019-07-08 00:00:00.000,186,night,28.8,not predominantly agricultural,0.484,0.418,True
16550,Castellana Sicula,2019-07-05 00:00:00.000,89,night,52.7,near/in agricultural land,0.474,0.44,True
15622,Petralia Sottana,2019-08-10 00:00:00.000,44,night,100.0,near/in agricultural land,0.422,0.484,True
17298,Petralia Sottana,2019-08-10 00:00:00.000,47,night,100.0,near/in agricultural land,0.464,0.367,True
17336,Castellana Sicula,2019-09-13 00:00:00.000,72,night,100.0,near/in agricultural land,0.596,0.36,True
42867,Castellana Sicula,2020-08-28 10:30:00.000,366,day,75.7,near/in agricultural land,0.226,0.318,False
43091,Castellana Sicula,2020-08-29 09:35:00.000,46,day,45.8,near/in agricultural land,0.492,0.339,False
51740,Resuttano,2021-08-02 09:33:06.480,108,day,20.9,not predominantly agricultural,0.343,0.354,True
210359,Resuttano,2022-09-07 00:18:00.000,67,night,22.9,not predominantly agricultural,0.574,0.298,False
210675,Castellana Sicula,2022-09-18 01:05:00.000,40,night,50.0,near/in agricultural land,0.279,0.372,True
221089,Resuttano,2023-09-22 12:06:00.000,142,day,21.3,not predominantly agricultural,0.454,0.397,True
222181,Castellana Sicula,2023-10-03 12:00:00.000,31,day,90.6,near/in agricultural land,0.493,0.4,True
223359,Castellana Sicula,2023-10-10 11:28:00.000,63,day,30.2,near/in agricultural land,0.255,0.591,True
217707,Polizzi Generosa,2023-07-25 09:39:00.000,44,day,33.3,near/in agricultural land,0.305,0.296,False
223180,Castellana Sicula,2023-10-20 09:54:00.000,102,day,62.0,near/in agricultural land,0.242,0.411,True
278609,Petralia Sottana,2025-08-13 12:25:00.000,90,day,71.4,near/in agricultural land,0.591,0.476,True
280884,Castellana Sicula,2025-09-07 09:05:00.000,130,day,88.5,near/in agricultural land,0.396,0.366,True
14882,Vicari,2018-07-21 00:00:00.000,98,night,62.9,near/in agricultural land,0.595,0.405,True
